block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
14744273,101,182,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x501950fc23b196d1e73b49c43cbc1d649defc1d9483f595cd50336b9182830b2,0x7fb8c796ed1e4519fef7877b38416be7c48070863ab0995395e3a1a3bc7300dc,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20243689449794253,1339,1652125771
14744325,38,38,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x64b7bdebbaf3fda7cf054f1ca4bb4cd1b35800b6f3f87d111517227fb56684a5,0x9e11dde8386caebf7ee020256f9111980181e2cda34494d7ff215ad351e91655,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20670275000000000,1340,1652126385
14744368,323,577,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x47e5f7e19c9c0c179894867a6569e0bf30ee1667b4a3633d4143775acae423c1,0x52c8b73593e0368c2839eb90c9b89a07f8825eaa3cf763207691358411279d6f,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,21156560097221800,1341,1652126938
14744390,61,63,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xbb065a4460628d50bc39c47c846c8f470d49a8aec6b7c2d815c36c7a42d078c5,0xd277fa62cd26bd31707b739f292726edd8f4b780c98baadacde42509f8732ed1,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,21608337441639827,1342,1652127125
14744414,16,23,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xb9855514ce3d2b5258a642ec08f085ae3b8a6ab9a72889e4a22c865d21982926,0x3745abc310120614167b33e71d18db403314bd1af8dbe3cad9d670c11cb15c89,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,22098383635077771,1343,1652127521
14744500,255,344,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x47b97a7f6f121ae2d0b6cb16808ef1fe0cc47d7b88c5cb34da3a9001747be731,0x208938177960e02d77037470f97a77cff1be8ab466a2915732fb9dae4cc11858,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,21597867282259143,1344,1652128654
14744625,133,227,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xf7dfc9385246e6c41f65699ceb2021b8e4f2093c653b2773a7c67b68ff3fed1f,0xbe7b8e32b1b693dd46e5ddfcc35187e10b92431f57938f2f5e924149e76eb54b,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,21054258842994153,1345,1652130470
14744736,139,192,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xc42311cb911294c5986765712a2e4d7477047a09403472b853c2ceddf5d954f4,0x71d8333837930e83de31fd4ebfe517e08b682d2acd0beb4894299a9e6d401e28,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20599748856433935,1346,1652132031
14744805,47,194,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x85b848c0e17acb1715ad6edfbc1acd889c07d182ab01928a09e6d01f89fb7ea3,0x1e8a55b3454b5dc03b6203fb223a7bc30c468b588d0a0d6c15755423d5d0f5d4,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,20038383582327818,1347,1652133080
14744833,8,15,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xcf8a11a84dfd3a7199541e3004296c281ce8c9b3b1bb48f5b247d363675e66e1,0x98e01f9dc9153169c3bb009c46c4d27a5d4009c14a3941d51de569163046d488,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,19624789714024704,1348,1652133415
